no_of_dependents,graduated,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_approved
5,True,True,2400000,8700000,18,877,2800000,2900000,7100000,1100000,True
3,False,False,2900000,6300000,8,648,3400000,3400000,7600000,1400000,True
1,True,False,1400000,5200000,12,730,2900000,0,3700000,700000,True
4,False,True,2200000,8200000,14,737,5800000,2800000,8200000,1400000,True
2,True,True,800000,3200000,10,584,0,200000,2100000,700000,False
0,True,False,600000,1700000,2,621,400000,400000,2000000,200000,True
4,True,True,700000,2700000,16,583,1100000,1200000,1400000,300000,True
2,False,False,8400000,25900000,16,621,8600000,13400000,33500000,4200000,True
2,False,False,7100000,21500000,16,610,5800000,12100000,14200000,9300000,True
4,True,False,5400000,15700000,18,452,13700000,2600000,16500000,6600000,False
5,True,False,3700000,7300000,18,339,9300000,100000,13900000,5300000,False
3,True,True,5200000,15200000,16,650,1300000,5700000,13500000,4100000,True
4,False,True,200000,700000,10,672,200000,200000,300000,300000,True
3,True,False,500000,1000000,20,501,800000,800000,900000,200000,False
2,False,True,1800000,5700000,4,809,1200000,1900000,6300000,2400000,True
5,True,True,9200000,29400000,8,318,18000000,5900000,33800000,5400000,False
4,False,False,900000,3300000,10,649,0,400000,1800000,1200000,True
3,False,False,7500000,28300000,12,367,9200000,11300000,22700000,7000000,False
5,False,False,3000000,11800000,6,847,8200000,2200000,7100000,2300000,True
5,True,False,7100000,18900000,12,360,10700000,1100000,19800000,8500000,False
1,True,True,3500000,7200000,2,865,4100000,3200000,11900000,4200000,True
4,False,False,4900000,18800000,16,880,4200000,4700000,13200000,2600000,True
1,True,False,4100000,8400000,20,608,1400000,8000000,10000000,4400000,True
0,True,True,800000,2100000,6,760,300000,100000,1600000,600000,True
3,True,True,1700000,4600000,12,385,1500000,1300000,5200000,1700000,False
0,True,True,6100000,23300000,12,478,3800000,2300000,17700000,4900000,False
1,True,True,2100000,7700000,16,327,5000000,500000,4700000,2300000,False
0,True,False,3100000,9300000,6,663,1300000,1400000,8100000,3800000,True
2,False,True,1700000,3500000,20,693,2200000,1400000,4800000,1700000,True
3,True,False,1700000,5400000,6,710,4800000,700000,5800000,1700000,True
4,False,True,4000000,14500000,6,711,2400000,5700000,10900000,4100000,True
5,True,False,5600000,18400000,8,386,11300000,6700000,11300000,5600000,False
4,True,True,3900000,11900000,10,855,10200000,4000000,10200000,2800000,True
4,True,True,6100000,15300000,14,573,1100000,9900000,13300000,8400000,True
0,True,True,1100000,2800000,18,431,500000,300000,4300000,1400000,False
2,True,False,5500000,14800000,8,364,13000000,4500000,12600000,4500000,False
4,True,True,1100000,3600000,14,711,2500000,500000,3600000,600000,True
4,False,True,400000,900000,20,771,1000000,500000,1600000,500000,True
3,True,False,9200000,36400000,18,669,3100000,12700000,30900000,12300000,True
4,False,True,9300000,27500000,18,338,21500000,500000,34900000,6600000,False
1,True,False,1100000,3500000,8,562,2300000,1200000,3200000,500000,True
3,False,False,5600000,18700000,2,769,8000000,8200000,17300000,4800000,True
0,True,True,6300000,21500000,8,629,600000,3400000,22000000,5200000,True
3,True,False,8800000,18100000,6,699,6400000,2100000,18500000,9400000,True
0,False,False,8400000,20800000,20,590,5100000,8900000,32100000,10800000,True
3,True,True,1600000,5700000,4,707,3300000,2700000,6200000,2300000,True
3,False,True,4500000,11400000,8,391,8500000,6800000,9900000,4500000,False
5,False,False,6500000,18500000,4,891,13600000,3300000,23600000,7100000,True
3,True,True,9500000,20600000,2,731,13400000,3800000,20700000,9200000,True
3,False,False,4700000,16700000,12,775,4000000,1700000,17300000,3500000,True
5,True,True,9600000,32400000,2,897,3500000,15400000,26800000,6200000,True
5,True,False,8000000,26700000,20,794,8000000,14700000,29900000,7800000,True
2,True,False,7700000,16700000,6,555,12900000,2900000,18100000,8500000,True
1,False,True,3600000,10300000,12,536,6800000,500000,12200000,2700000,False
2,False,False,700000,1700000,10,839,100000,700000,2000000,900000,True
0,True,True,1400000,5100000,6,890,4100000,1900000,5200000,1900000,True
1,True,True,8600000,27900000,20,415,12200000,14800000,27100000,7900000,False
4,True,False,4700000,15700000,4,868,3300000,2500000,13800000,4800000,True
3,True,True,2900000,5800000,12,353,8400000,2600000,10100000,3100000,False
4,False,False,9000000,29000000,16,590,4600000,15600000,29200000,12300000,True
5,True,True,500000,900000,18,618,1400000,600000,1200000,400000,True
2,False,True,700000,1700000,10,539,1400000,1000000,1900000,900000,False
0,True,False,6800000,27000000,4,429,17100000,7600000,21400000,9400000,True
2,True,False,1800000,4700000,8,792,4500000,1200000,4100000,2200000,True
0,False,False,6000000,12400000,2,608,3000000,2100000,17900000,6800000,True
4,True,True,5400000,21500000,14,555,4300000,1500000,14300000,7500000,True
5,True,True,8400000,17500000,12,620,15300000,13600000,26000000,5800000,True
0,True,False,7400000,20900000,6,635,15600000,14000000,21000000,7200000,True
2,True,False,3200000,12500000,10,457,6100000,2000000,8200000,4300000,False
1,True,True,5400000,21400000,8,350,2600000,1000000,19700000,6800000,False
5,True,True,1000000,2500000,14,885,2200000,100000,2300000,1100000,True
0,True,False,4400000,14700000,16,638,4000000,2700000,14400000,2700000,True
1,True,True,3800000,10500000,12,710,1800000,6200000,12500000,2500000,True
3,False,True,6100000,20900000,18,470,500000,8500000,18000000,7500000,False
5,False,True,5500000,17300000,16,874,1000000,2900000,13700000,7900000,True
5,False,True,500000,1800000,18,411,1000000,500000,1300000,200000,False
0,False,True,300000,1100000,2,482,200000,100000,1100000,400000,True
1,True,True,6200000,16900000,2,396,10600000,7500000,23700000,7600000,False
0,False,False,300000,900000,20,436,0,400000,600000,200000,False
0,False,True,6900000,22100000,20,303,13600000,4600000,22000000,6900000,False
4,True,False,3700000,11400000,12,728,4200000,5800000,7300000,2300000,True
3,False,True,8800000,28600000,10,775,5200000,5000000,32000000,9600000,True
5,True,True,8200000,23500000,12,402,15100000,1500000,24300000,5800000,False
1,False,True,9200000,31500000,18,698,5300000,6100000,20400000,8300000,True
0,False,False,2400000,7800000,14,665,5200000,2900000,6200000,2900000,True
4,False,False,4100000,13500000,18,490,4700000,6200000,13900000,2000000,False
1,True,False,8000000,31900000,12,504,23800000,1500000,22100000,6000000,False
3,False,True,3600000,8600000,8,790,5400000,5900000,9800000,5200000,True
1,False,True,700000,2700000,20,669,100000,1000000,2600000,500000,True
4,False,False,8300000,30700000,6,381,21700000,2300000,26700000,4600000,False
0,True,True,5300000,15000000,2,900,1700000,2100000,21000000,5800000,True
4,True,False,8300000,24900000,16,506,15400000,5600000,26700000,7000000,False
3,False,True,2500000,8800000,12,538,4900000,1800000,9100000,3300000,False
3,True,True,5400000,14400000,8,677,11000000,7900000,20800000,3100000,True
4,True,False,1600000,4900000,8,685,3200000,2000000,3800000,1500000,True
2,False,False,2400000,6200000,12,860,4900000,3700000,9500000,1100000,True
5,False,False,6300000,14800000,6,608,16100000,10500000,21800000,5400000,True
4,True,True,2500000,5300000,10,540,2300000,2800000,7100000,1700000,False
0,True,True,7500000,16800000,16,492,21500000,4800000,25400000,11100000,False
3,False,False,2900000,8500000,14,834,1200000,4500000,8800000,1800000,True
3,True,True,1000000,3500000,16,834,800000,1700000,3000000,700000,True
2,True,True,8600000,28800000,8,890,23300000,5900000,21200000,7200000,True
1,False,False,300000,1100000,12,443,600000,400000,1200000,200000,False
5,False,False,2300000,5700000,18,329,5600000,3300000,4900000,2700000,False
2,False,True,2400000,5400000,12,739,300000,2500000,5000000,3000000,True
5,True,True,9800000,30300000,6,867,20800000,16000000,30200000,7600000,True
2,False,False,8100000,24800000,6,307,200000,4000000,31100000,10500000,False
3,True,False,6700000,15500000,18,492,2100000,2000000,26300000,9400000,False
1,False,True,8400000,24700000,18,698,23000000,13200000,32700000,12200000,True
2,True,False,200000,700000,8,851,400000,200000,800000,200000,True
2,True,False,4700000,12500000,14,375,1300000,6300000,10100000,5400000,False
0,True,True,4300000,14300000,14,601,3800000,900000,16700000,5700000,True
4,False,False,2200000,7000000,20,756,3600000,3900000,5700000,1200000,True
4,True,True,8600000,19200000,4,868,20400000,1500000,32800000,9300000,True
4,True,True,2000000,7200000,10,838,2500000,300000,7600000,1000000,True
4,False,True,4200000,15900000,14,375,7200000,7900000,16200000,3000000,False
0,False,True,5100000,12500000,18,778,3300000,1000000,14800000,3200000,True
2,True,True,4100000,11200000,6,442,12200000,4100000,10000000,4500000,False
1,True,True,9900000,39500000,12,808,11800000,3700000,30200000,13500000,True
1,False,True,3200000,9000000,20,372,2700000,2800000,7200000,3800000,False
2,True,False,5500000,19000000,4,597,1100000,4000000,18700000,5300000,True
0,True,True,7800000,29100000,20,435,21100000,13000000,17300000,9700000,False
3,True,True,3400000,9700000,20,728,1500000,1500000,7300000,2400000,True
4,True,True,7900000,25900000,14,373,10900000,14300000,27700000,7600000,False
3,True,True,8900000,18500000,10,367,6100000,0,32000000,10300000,False
2,True,False,7300000,19100000,14,552,2000000,13400000,16800000,4000000,True
4,False,True,3300000,10600000,8,465,500000,4400000,7300000,2800000,False
4,True,True,2900000,10500000,8,607,4400000,5500000,7600000,3800000,True
2,True,True,500000,1300000,4,427,1400000,500000,1800000,600000,False
3,False,False,7200000,21200000,4,711,10800000,4200000,24900000,5700000,True
3,False,False,8300000,24100000,14,823,5900000,700000,24000000,7700000,True
1,False,True,8700000,20500000,6,523,19300000,6500000,23700000,4800000,False
4,False,True,7100000,27900000,10,328,9000000,13400000,26500000,7700000,False
3,True,True,9800000,28200000,12,721,15800000,6500000,21900000,9600000,True
0,True,True,6900000,17000000,20,599,18100000,9400000,26600000,4300000,True
0,False,False,2400000,5000000,14,580,5900000,4400000,5500000,3200000,True
1,False,True,2100000,4900000,10,744,200000,2000000,5400000,1000000,True
2,True,True,7200000,23900000,4,559,4200000,12200000,17800000,10800000,True
2,True,False,4600000,13500000,16,587,7700000,5900000,10600000,5000000,True
5,True,True,9900000,31800000,18,817,23400000,700000,32600000,11500000,True
4,False,True,300000,1000000,20,655,0,100000,1100000,400000,True
5,True,True,6900000,23900000,6,382,17100000,6900000,21500000,8900000,False
2,True,True,1700000,4300000,6,765,5000000,1500000,3400000,900000,True
2,True,True,4400000,10000000,20,516,7400000,7600000,12200000,5100000,False
4,False,True,4300000,15000000,8,383,4700000,100000,9000000,4900000,False
2,False,False,3700000,14100000,6,633,800000,200000,11300000,3400000,True
1,True,False,5900000,15200000,2,547,17100000,2000000,14700000,3600000,False
5,False,True,8600000,26300000,10,843,23300000,9800000,18100000,11300000,True
3,False,True,3400000,13200000,8,783,6500000,300000,13000000,4900000,True
3,False,True,1000000,3200000,14,790,1900000,100000,3600000,1100000,True
1,False,True,4400000,14200000,16,409,12700000,1300000,12600000,4500000,False
0,False,False,3600000,7800000,14,376,9800000,6900000,11900000,3000000,False
3,False,False,1400000,2700000,8,625,3100000,1800000,3400000,1000000,True
0,False,False,5300000,10900000,18,707,12900000,2600000,12700000,7600000,True
3,True,True,9400000,20500000,6,645,17400000,13000000,24500000,10200000,True
4,False,True,6600000,22100000,6,887,3600000,3500000,19800000,4700000,True
5,True,False,9800000,37600000,18,319,19200000,5100000,19900000,5100000,False
1,False,False,1900000,4900000,20,647,4100000,2100000,6800000,1700000,True
2,False,True,5800000,22500000,6,888,11900000,2600000,17100000,4800000,True
2,False,False,3100000,10400000,10,420,6900000,5900000,10000000,3500000,False
0,True,False,6800000,18400000,2,791,4000000,900000,20200000,9900000,True
5,False,False,4600000,16200000,12,891,5900000,1200000,10800000,3700000,True
2,False,True,200000,700000,16,641,600000,200000,600000,100000,True
3,False,True,9500000,22800000,6,319,200000,18800000,34100000,9400000,False
5,False,True,6200000,22200000,20,819,13500000,6600000,21700000,8700000,True
4,False,True,9700000,32300000,18,387,11600000,14300000,20000000,5400000,False
5,True,True,4200000,12300000,2,686,10500000,200000,15600000,4200000,True
1,True,True,5700000,12000000,4,415,15700000,900000,17300000,7400000,False
2,True,True,200000,500000,6,885,-100000,0,300000,200000,False
4,True,False,8000000,25500000,4,722,17200000,13900000,26200000,4900000,True
4,True,False,5200000,20400000,20,761,4700000,1600000,14300000,6200000,True
1,True,True,7100000,15200000,8,389,5900000,900000,24300000,5900000,False
1,True,True,9300000,27900000,12,600,2100000,4200000,29000000,6600000,True
5,True,False,2000000,6100000,2,407,1900000,1900000,4600000,2000000,True
3,True,True,3900000,14000000,18,829,5200000,4000000,11600000,2700000,True
2,False,False,2800000,5900000,6,895,1000000,3900000,10900000,1500000,True
5,True,True,3000000,11100000,12,441,8500000,2500000,7300000,2000000,False
4,False,False,4500000,9800000,16,895,9800000,8200000,13900000,5500000,True
4,True,False,1900000,4300000,4,826,2400000,0,7000000,900000,True
1,True,False,2300000,7200000,8,453,3000000,2100000,8100000,3400000,False
0,True,False,4700000,17500000,2,701,5400000,2300000,11700000,7000000,True
2,False,True,1300000,2700000,8,627,100000,300000,2600000,1300000,True
3,True,False,3100000,11000000,2,543,5900000,2200000,9000000,2400000,True
0,True,False,8400000,17500000,18,411,13200000,5300000,31300000,10400000,False
5,True,True,1700000,5800000,4,583,2000000,1800000,6000000,2300000,True
2,False,False,1900000,7500000,2,889,600000,1100000,7100000,2600000,True
3,False,False,2400000,8600000,8,684,3400000,2400000,6200000,1600000,True
5,True,False,6800000,20500000,10,578,500000,11800000,27200000,3400000,True
1,True,False,2900000,10900000,20,445,6600000,2800000,9300000,2600000,False
4,True,True,8900000,26300000,10,369,23900000,7000000,27400000,12100000,False
1,False,False,8800000,22200000,18,794,8400000,11900000,21000000,10500000,True
0,True,True,8200000,19200000,16,492,16500000,9200000,20000000,7200000,False
3,False,True,3600000,13200000,16,557,9800000,4000000,9900000,2100000,True
4,True,True,9500000,31800000,6,519,5900000,1300000,28400000,12200000,False
0,False,True,1900000,5700000,18,699,5500000,200000,6500000,2000000,True
3,False,True,9100000,24600000,2,741,8000000,4000000,35500000,13600000,True
5,True,False,1100000,3800000,18,508,200000,1800000,2300000,900000,False
5,False,True,1100000,2800000,10,647,2700000,2000000,4300000,1400000,True
1,True,False,9300000,28600000,14,656,17300000,9100000,27400000,12500000,True
4,True,True,3900000,10600000,2,439,300000,7600000,14800000,2500000,False
5,False,True,1500000,4000000,12,350,2900000,1900000,4400000,1200000,False
5,True,False,800000,2200000,6,493,900000,500000,2800000,1000000,False
4,True,False,600000,1800000,6,851,100000,1100000,2100000,800000,True
2,True,False,4400000,12500000,18,492,7900000,1200000,10100000,2700000,False
4,True,True,2700000,5400000,6,861,6300000,2400000,6700000,2700000,True
3,False,True,6200000,14600000,2,664,18300000,8400000,16800000,6600000,True
5,True,True,700000,1300000,16,362,2100000,1300000,2000000,1000000,False
0,True,False,3400000,9400000,6,703,600000,6000000,8600000,2600000,True
1,False,True,4900000,16800000,12,758,1700000,2700000,11100000,5900000,True
3,False,True,4200000,9700000,2,396,700000,8200000,8600000,4300000,False
0,True,True,5300000,10600000,2,828,8100000,6700000,17400000,5800000,True
5,True,True,3700000,10000000,20,709,8000000,800000,12000000,2200000,True
4,False,True,5600000,17500000,10,528,14200000,2300000,12100000,7200000,False
2,True,True,4300000,16000000,14,623,9800000,6700000,17000000,4500000,True
4,False,True,7100000,24500000,14,599,9100000,7000000,20400000,6800000,True
4,True,True,5400000,12700000,4,622,11000000,3300000,15100000,6500000,True
0,False,False,6000000,13100000,6,385,16600000,7600000,22000000,7400000,False
4,True,True,4100000,12500000,2,579,10900000,7200000,12200000,2000000,True
4,False,False,8300000,17900000,20,846,12700000,1300000,26800000,12200000,True
3,True,False,8100000,23900000,10,449,7100000,6100000,28300000,8900000,False
1,False,False,7200000,24900000,14,666,3600000,11600000,16600000,5800000,True
5,True,False,7200000,17500000,4,380,2300000,400000,17500000,6200000,False
2,True,True,3500000,8100000,4,589,3800000,6700000,12500000,2700000,True
1,True,False,6200000,19500000,12,845,9100000,2900000,15300000,4000000,True
3,False,False,5200000,17300000,10,401,2600000,1400000,12700000,6400000,False
0,False,False,4500000,14500000,2,766,6100000,8400000,17200000,6600000,True
5,False,False,5400000,15100000,12,522,5200000,4700000,13900000,5700000,False
3,False,True,2000000,6900000,6,834,2200000,2800000,6400000,3000000,True
3,True,False,8900000,25400000,8,588,19400000,12100000,18800000,4500000,True
2,True,False,5000000,10600000,4,570,11900000,900000,14800000,7100000,True
2,True,False,4900000,17600000,6,860,13600000,7500000,12700000,5600000,True
4,True,True,5300000,19200000,4,655,14200000,6900000,17800000,3900000,True
3,False,True,8500000,27700000,4,457,3600000,400000,18900000,5200000,True
5,True,True,700000,2100000,14,863,100000,1200000,2700000,600000,True
3,False,True,5900000,18900000,4,742,10800000,4500000,23200000,8000000,True
3,True,False,3500000,13300000,4,798,7400000,5300000,12100000,3600000,True
5,False,True,7700000,18900000,16,552,15600000,6100000,23900000,6600000,True
2,False,True,4500000,12500000,12,418,400000,4300000,12400000,4300000,False
0,True,False,9100000,22200000,6,419,7400000,600000,18200000,9800000,False
1,False,True,9000000,29900000,2,668,22100000,7200000,24400000,4700000,True
2,False,False,8900000,29200000,8,608,10800000,5200000,33500000,11700000,True
5,False,False,6500000,13800000,10,342,15300000,2300000,14400000,7300000,False
4,False,True,8100000,18000000,8,817,1400000,7800000,16900000,10800000,True
1,False,False,8400000,29900000,16,476,16100000,2400000,32700000,7500000,False
0,False,False,5300000,20000000,6,881,15900000,3700000,19500000,4000000,True
2,True,False,4100000,15600000,12,838,5500000,4800000,15100000,2700000,True
3,False,False,6900000,27400000,4,406,10200000,6500000,23900000,5300000,True
1,True,True,5200000,19500000,12,778,5200000,4300000,19900000,5800000,True
5,False,True,2000000,7400000,14,799,3600000,3700000,4300000,1100000,True
3,True,False,4600000,17800000,20,716,12600000,2600000,10800000,4500000,True
0,True,True,7100000,20100000,16,756,8000000,5000000,17600000,5400000,True
0,False,False,9300000,20100000,10,743,4800000,1800000,21900000,13600000,True
3,False,False,5400000,19400000,20,731,13800000,3200000,20000000,4300000,True
3,False,False,4100000,8500000,2,833,12000000,0,16200000,3400000,True
4,False,False,4900000,11400000,8,470,12000000,7500000,14700000,4800000,False
5,True,True,5400000,21200000,20,734,7300000,1800000,11500000,7500000,True
0,True,False,3000000,9600000,12,620,7900000,0,8600000,3600000,True
0,False,True,6800000,14400000,8,812,15200000,4500000,21100000,6400000,True
4,True,True,5100000,14000000,12,459,9800000,0,10400000,6800000,False
0,True,True,9800000,32600000,10,704,7000000,12100000,30000000,4900000,True
1,True,True,1600000,4100000,6,391,4300000,1400000,5700000,700000,False
4,True,False,8000000,29100000,4,421,3100000,12000000,27000000,8800000,True
5,True,False,2900000,6700000,14,796,3800000,3700000,9700000,4200000,True
4,True,False,9200000,30300000,10,607,24000000,16600000,29600000,8900000,True
3,False,False,9500000,20400000,14,376,2300000,6600000,25900000,8400000,False
0,True,True,3700000,8500000,8,424,1900000,5600000,14800000,4100000,False
5,True,True,7100000,20800000,6,442,2900000,7100000,28200000,7100000,False
5,False,False,5600000,17600000,14,448,6700000,3500000,18900000,6800000,False
0,True,True,1200000,2700000,2,638,1500000,500000,2700000,1500000,True
3,False,False,1600000,5600000,6,710,3100000,800000,6000000,1600000,True
4,False,True,1600000,4800000,20,641,4200000,1000000,4100000,1400000,True
2,False,False,5300000,20200000,10,348,9200000,9500000,17300000,6100000,False
5,False,False,9100000,19900000,20,519,9300000,16400000,28900000,10500000,False
4,False,True,9400000,35000000,10,517,10700000,15100000,27500000,6700000,False
3,False,False,5900000,22400000,6,375,6500000,10500000,18100000,4800000,False
2,True,True,1100000,3400000,10,426,300000,800000,3900000,1400000,False
4,True,True,3100000,11500000,14,785,3200000,3100000,9100000,4200000,True
4,False,False,2200000,8600000,20,373,4100000,1300000,5900000,1400000,False
1,True,False,6000000,20100000,6,476,13900000,10000000,15200000,5500000,False
1,True,True,2000000,5600000,18,320,2400000,2300000,4600000,2100000,False
4,True,False,7200000,22900000,18,657,14600000,400000,17400000,8800000,True
1,False,True,500000,1900000,12,868,200000,500000,1800000,300000,True
1,False,True,5800000,13900000,6,345,4000000,9300000,20900000,5500000,False
0,False,False,200000,300000,6,472,400000,100000,700000,0,False
4,False,True,4600000,9500000,20,613,5200000,5900000,13700000,3000000,True
5,False,True,4600000,12800000,14,769,13100000,8600000,12100000,3500000,True
1,True,False,6500000,23100000,20,741,11400000,8500000,25700000,7900000,True
4,False,True,4400000,16600000,14,889,800000,1400000,14900000,5900000,True
0,False,True,900000,3600000,10,683,1400000,700000,3500000,400000,True
0,False,True,3200000,7400000,18,780,4200000,2600000,9000000,2800000,True
3,True,False,600000,1100000,8,538,500000,800000,1400000,300000,False
1,False,False,5200000,12600000,10,721,1100000,8700000,13900000,3600000,True
3,False,True,6400000,15200000,14,467,15500000,9100000,18400000,3200000,False
2,False,False,1000000,2500000,6,551,1700000,200000,3700000,900000,True
2,False,False,6800000,14800000,14,803,11300000,3300000,19600000,6600000,True
0,True,False,3000000,8400000,10,361,7700000,200000,7300000,1800000,False
1,False,True,8700000,30700000,6,708,20600000,4500000,27600000,9300000,True
4,True,True,8800000,20900000,18,766,13500000,15400000,34500000,13100000,True
1,False,True,3900000,11500000,2,464,9300000,5700000,12400000,5100000,False
5,True,False,1700000,4300000,2,517,100000,200000,6200000,1600000,False
3,False,True,900000,2300000,6,747,1200000,200000,2900000,600000,True
1,False,False,7200000,24700000,6,596,8800000,1400000,21700000,5800000,True
0,True,False,9200000,25400000,2,783,25400000,2000000,19600000,12400000,True
3,False,False,5700000,19400000,2,335,7400000,10600000,20600000,7100000,True
5,False,True,1100000,2700000,4,889,1900000,1000000,2200000,500000,True
2,False,True,1100000,2200000,4,874,1900000,1300000,2100000,900000,True
0,True,True,6000000,23900000,4,394,6700000,5800000,21900000,4500000,True
2,True,True,8100000,28500000,20,420,1500000,1400000,31800000,10000000,False
2,False,True,6500000,25100000,20,848,11500000,8600000,17400000,4400000,True
0,True,True,7600000,17900000,16,788,1700000,7800000,27100000,5900000,True
1,True,False,2200000,4900000,8,509,3800000,0,5400000,2900000,False
4,True,True,6300000,23900000,6,899,-100000,11400000,20600000,6700000,True
4,False,True,6700000,15800000,12,466,7500000,4600000,19900000,6600000,False
5,True,True,1300000,4300000,2,595,1300000,500000,2900000,1500000,True
1,False,False,2800000,6700000,12,322,1900000,2000000,8600000,2100000,False
3,True,False,7000000,18900000,2,691,6300000,7400000,15200000,3900000,True
3,False,True,8800000,26700000,10,379,10100000,15500000,27000000,9700000,False
0,True,False,8900000,25800000,18,531,12400000,3400000,22900000,5400000,False
5,False,False,7000000,21800000,4,631,8100000,7100000,14600000,10000000,True
0,True,True,6900000,18600000,10,330,19600000,9400000,16400000,4500000,False
5,True,False,9200000,29200000,16,383,17700000,13300000,30400000,5700000,False
0,True,True,6100000,19700000,16,678,13700000,2300000,19300000,5500000,True
1,True,True,4400000,14700000,8,894,11400000,6300000,9400000,2400000,True
4,False,False,9900000,22700000,12,567,28300000,9900000,29700000,5400000,True
5,False,False,3900000,14000000,4,708,700000,1800000,15600000,5200000,True
3,True,False,6800000,21200000,2,433,10700000,1900000,23200000,6300000,True
4,False,False,3600000,8700000,14,302,6400000,3700000,7800000,4100000,False
4,True,False,700000,2600000,14,736,2100000,600000,1900000,400000,True
2,False,True,4000000,8500000,6,323,11200000,1000000,14300000,4100000,False
4,True,False,1800000,4100000,12,670,1900000,2900000,4700000,2200000,True
3,False,False,5600000,21000000,12,609,8800000,11000000,15800000,4900000,True
4,False,False,6800000,24200000,18,349,18800000,0,15800000,9400000,False
5,False,True,600000,1500000,2,319,100000,1100000,2100000,600000,False
1,False,False,4200000,16200000,14,391,5800000,2100000,14100000,2600000,False
4,False,False,5000000,18700000,10,755,3600000,600000,13000000,2600000,True
1,False,False,4100000,12200000,6,354,7300000,5600000,16300000,3500000,False
3,False,True,2200000,8800000,2,877,5000000,1300000,6400000,3100000,True
1,False,False,3400000,8600000,16,312,6400000,6100000,8400000,3000000,False
0,True,False,7100000,15900000,14,746,9500000,3900000,23500000,8000000,True
3,True,False,5800000,19600000,16,313,11100000,8100000,22700000,6300000,False
2,True,False,3400000,12900000,14,857,3400000,2500000,8700000,1900000,True
2,False,False,7700000,18300000,20,504,14600000,500000,18300000,4600000,False
0,True,False,500000,1200000,14,556,900000,0,1800000,500000,True
2,True,True,5300000,11000000,14,393,6800000,2400000,20500000,5200000,False
0,True,False,4700000,14400000,14,881,11000000,6100000,17600000,2400000,True
2,True,True,4300000,12200000,14,719,5100000,2600000,14000000,5700000,True
2,True,True,900000,2500000,16,458,-100000,100000,3200000,1100000,False
4,True,False,2000000,7500000,14,857,4300000,1500000,4200000,2100000,True
2,True,True,2000000,7600000,16,429,5300000,3100000,5800000,2200000,False
3,False,False,4100000,15900000,12,538,3900000,800000,8800000,5700000,False
1,False,False,6900000,14400000,10,828,4600000,13000000,26700000,9000000,True
5,True,True,2300000,6100000,6,339,5100000,2500000,8300000,2400000,False
5,True,True,5800000,16600000,18,376,2500000,7500000,21100000,2800000,False
5,False,False,8000000,30000000,14,549,14800000,200000,17300000,7000000,False
3,False,True,3700000,12700000,18,587,11000000,3100000,8800000,4100000,True
0,False,False,2600000,8400000,18,861,0,3500000,6200000,3800000,True
0,False,False,3000000,7000000,12,409,6400000,4900000,8000000,3500000,False
4,True,False,2700000,10200000,4,528,7800000,2200000,10000000,1600000,True
4,False,False,5700000,19600000,8,691,8800000,2200000,12100000,3000000,True
2,True,False,1500000,3600000,4,584,3900000,1300000,4800000,1700000,True
5,False,False,6800000,20000000,4,459,14500000,3000000,25000000,4900000,False
1,True,True,8100000,31700000,10,755,0,12700000,30100000,4700000,True
3,False,True,9200000,27700000,20,688,4800000,16300000,25800000,11200000,True
1,False,True,7600000,26000000,6,384,2600000,1200000,20000000,7900000,False
4,True,False,600000,1600000,20,869,1400000,1000000,1700000,200000,True
1,False,True,4700000,18700000,20,445,2100000,0,11100000,4000000,False
0,True,False,1400000,5500000,6,393,500000,1500000,5400000,1800000,False
3,True,True,9400000,24600000,10,414,8800000,13400000,23800000,5600000,False
2,True,False,9700000,19900000,16,395,2800000,13700000,37000000,10800000,False
3,False,True,8900000,21000000,14,815,200000,10800000,21600000,6400000,True
5,True,False,4600000,10500000,8,758,3900000,4300000,15800000,2900000,True
5,False,True,5600000,14500000,10,457,6900000,7800000,20600000,4600000,False
0,True,True,1000000,3200000,10,854,2600000,800000,2900000,1200000,True
3,True,False,3500000,10300000,16,324,2400000,900000,12600000,2400000,False
0,False,False,7900000,31500000,14,849,19400000,10300000,26600000,10600000,True
3,True,True,6100000,24200000,12,672,300000,11100000,23500000,5000000,True
3,False,True,8900000,20900000,6,859,9600000,16500000,29300000,11100000,True
4,True,False,5300000,15400000,8,584,5100000,1700000,14000000,5000000,True
5,False,False,1300000,4800000,4,346,3200000,1600000,3400000,1600000,True
3,True,False,4000000,12800000,18,635,6000000,7000000,12900000,4200000,True
2,False,False,8700000,22700000,4,365,8200000,14800000,30200000,7200000,False
1,False,False,9500000,20000000,16,856,24900000,0,35700000,6200000,True
5,True,True,9000000,20000000,2,440,17100000,1000000,28500000,7600000,False
0,True,True,7300000,23300000,2,616,15700000,5900000,25800000,4100000,True
3,True,True,7400000,25700000,2,461,5700000,2900000,15100000,5100000,True
5,False,False,3100000,10800000,10,681,5100000,1700000,7400000,1500000,True
2,True,False,4300000,9400000,2,485,11000000,8100000,11000000,2200000,False
1,True,True,2400000,8300000,6,684,5500000,3500000,5300000,2300000,True
1,True,False,5400000,17900000,14,727,13100000,0,12300000,4700000,True
2,False,False,1600000,5100000,6,784,1400000,2400000,4500000,1400000,True
3,False,True,9900000,20400000,4,865,26300000,3600000,36500000,12800000,True
3,False,False,5800000,20100000,18,791,1400000,10800000,16300000,5600000,True
4,False,False,2200000,8500000,16,866,4000000,1900000,6800000,2800000,True
